id|BIK|namebanka|korschet
686|"042908713"|"ﾋﾅﾔﾊﾎ-ﾁﾀﾍﾊ"", ﾃ. ﾊﾀﾋﾓﾃﾀ"""|"30101810300000000713"
687|"042908748"|"ﾊﾀﾋﾓﾃﾀ"", ﾃ. ﾊﾀﾋﾓﾃﾀ"""|"30101810100000000748"
688|"042908759"|"ﾇﾅﾌﾁﾀﾍﾊ"", ﾃ. ﾊﾀﾋﾓﾃﾀ"""|"30101810500000000759"
689|"042908762"|"ﾝﾋﾈﾒﾀ"", ﾃ. ﾊﾀﾋﾓﾃﾀ"""|"30101810500000000762"
690|"042909000"|"ﾐﾊﾖ ﾌﾀﾋﾎﾟﾐﾎﾑﾋﾀﾂﾅﾖ, ﾃ. ﾌﾀﾋﾎﾟﾐﾎﾑﾋﾀﾂﾅﾖ"|
691|"042913000"|"ﾐﾊﾖ ﾎﾁﾍﾈﾍﾑﾊ, ﾃ. ﾎﾁﾍﾈﾍﾑﾊ"|
692|"042913708"|"ﾈﾍﾂﾅﾑﾊﾎ-ﾁﾀﾍﾊ"" ﾇﾀﾎ, ﾃ. ﾎﾁﾍﾈﾍﾑﾊ"""|"30101810500000000708"
693|"042980002"|"ﾏﾓ ﾁﾀﾍﾊﾀ ﾐﾎﾑﾑﾈﾈ ﾃﾀﾃﾀﾐﾈﾍﾑﾊﾎﾅ, ﾃ. ﾊﾎﾇﾅﾋﾜﾑﾊ 5"|
694|"043002001"|"ﾃﾐﾊﾖ ﾃﾓ ﾁﾀﾍﾊﾀ ﾐﾎﾑﾑﾈﾈ ﾏﾎ ﾊﾀﾌﾗﾀﾒﾑﾊﾎﾉ ﾎﾁﾋ., ﾃ. ﾏﾅﾒﾐﾎﾏﾀﾂﾋﾎﾂﾑﾊ-ﾊﾀﾌﾗﾀﾒﾑﾊﾈﾉ"|
695|"043002705"|"ﾊﾀﾌﾗﾀﾒﾐﾛﾁﾁﾀﾍﾊ"", ﾃ. ﾏﾅﾒﾐﾎﾏﾀﾂﾋﾎﾂﾑﾊ-ﾊﾀﾌﾗﾀﾒﾑﾊﾈﾉ"""|"30101810400000000705"
696|"043002708"|"ﾊﾀﾌﾗﾀﾒﾁﾈﾇﾍﾅﾑﾁﾀﾍﾊ"", ﾃ. ﾏﾅﾒﾐﾎﾏﾀﾂﾋﾎﾂﾑﾊ-ﾊﾀﾌﾗﾀﾒﾑﾊﾈﾉ"""|"30101810300000000708"
697|"043002711"|"ﾊﾀﾌﾗﾀﾒﾊﾎﾌﾀﾃﾐﾎﾏﾐﾎﾌﾁﾀﾍﾊ"", ﾃ. ﾏﾅﾒﾐﾎﾏﾀﾂﾋﾎﾂﾑﾊ-ﾊﾀﾌﾗﾀﾒﾑﾊﾈﾉ"""|"30101810300000000711"
698|"043002714"|"ﾊﾀﾌﾗﾀﾒﾏﾐﾎﾌﾁﾀﾍﾊ"", ﾃ. ﾏﾅﾒﾐﾎﾏﾀﾂﾋﾎﾂﾑﾊ-ﾊﾀﾌﾗﾀﾒﾑﾊﾈﾉ"""|"30101810200000000714"
699|"043002715"|"ﾏﾈﾊﾎ-ﾁﾀﾍﾊ"" ﾎﾀﾎ, ﾃ. ﾏﾅﾒﾐﾎﾏﾀﾂﾋﾎﾂﾑﾊ-ﾊﾀﾌﾗﾀﾒﾑﾊﾈﾉ"""|"30101810500000000715"
700|"043002717"|"ﾌﾓﾍﾈﾖﾈﾏﾀﾋﾜﾍﾛﾉ ﾊﾀﾌﾗﾀﾒﾏﾐﾎﾔﾈﾒﾁﾀﾍﾊ"" (ﾇﾀﾎ), ﾃ. ﾏﾅﾒﾐﾎﾏﾀﾂﾋﾎﾂﾑﾊ-ﾊﾀﾌﾗﾀﾒﾑﾊﾈﾉ"""|"30101810100000000717"
701|"043002785"|"ﾊﾐﾀﾉﾍﾈﾉ ﾑﾅﾂﾅﾐ"", ﾃ. ﾏﾅﾒﾐﾎﾏﾀﾂﾋﾎﾂﾑﾊ-ﾊﾀﾌﾗﾀﾒﾑﾊﾈﾉ"""|"30101810200000000785"
702|"043002787"|"ﾊﾀﾌﾗﾀﾒﾊﾀ"", ﾃ. ﾏﾅﾒﾐﾎﾏﾀﾂﾋﾎﾂﾑﾊ-ﾊﾀﾌﾗﾀﾒﾑﾊﾈﾉ"""|"30101810800000000787"
703|"043003000"|"ﾐﾊﾖ ﾅﾋﾈﾇﾎﾂﾎ, ﾃ. ﾅﾋﾈﾇﾎﾂﾎ"|
704|"043003702"|"ﾊﾀﾌﾗﾀﾒﾏﾐﾎﾌﾁﾀﾍﾊ"", ﾃ. ﾅﾋﾈﾇﾎﾂﾎ"""|"30101810400000000702"
705|"043003703"|"ﾊﾀﾌﾗﾀﾒﾊﾎﾌﾀﾃﾐﾎﾏﾐﾎﾌﾁﾀﾍﾊ"", ﾃ. ﾅﾋﾈﾇﾎﾂﾎ"""|"30101810700000000703"
706|"043004000"|"ﾐﾊﾖ ﾏﾀﾋﾀﾍﾀ, ﾏﾃﾒ. ﾏﾀﾋﾀﾍﾀ"|
707|"043004752"|"ﾊﾐﾀﾉﾍﾈﾉ ﾑﾅﾂﾅﾐ"", ﾏﾃﾒ. ﾏﾀﾋﾀﾍﾀ"""|"30101810800000000752"
708|"043005000"|"ﾐﾊﾖ ﾝﾑﾑﾎ, ﾑ. ﾝﾑﾑﾎ"|
709|"043006000"|"ﾐﾊﾖ ﾓﾑﾒﾜ-ﾁﾎﾋﾜﾘﾅﾐﾅﾖﾊ, ﾑ. ﾓﾑﾒﾜ-ﾁﾎﾋﾜﾘﾅﾐﾅﾖﾊ"|
710|"043006724"|"ﾊﾀﾌﾗﾀﾒﾊﾎﾌﾀﾃﾐﾎﾏﾐﾎﾌﾁﾀﾍﾊ"", ﾑ. ﾓﾑﾒﾜ-ﾁﾎﾋﾜﾘﾅﾐﾅﾖﾊ"""|"30101810900000000724"
711|"043007000"|"ﾐﾊﾖ ﾓﾑﾒﾜ-ﾊﾀﾌﾗﾀﾒﾑﾊ, ﾏﾃﾒ. ﾓﾑﾒﾜ-ﾊﾀﾌﾗﾀﾒﾑﾊ"|
712|"043007601"|"ﾓﾑﾒﾜ-ﾊﾀﾌﾗﾀﾒﾑﾊﾎﾅ ﾎﾒﾄﾅﾋﾅﾍﾈﾅ N 4196, ﾑ. ﾓﾑﾒﾜ-ﾊﾀﾌﾗﾀﾒﾑﾊﾈﾉ"|"30101810800000000601"
713|"043008000"|"ﾐﾊﾖ ﾊﾋﾞﾗﾈ, ﾃ. ﾊﾋﾞﾗﾈ"|
714|"043009000"|"ﾐﾊﾖ ﾎﾑﾑﾎﾐﾀ, ﾏﾃﾒ. ﾎﾑﾑﾎﾐﾀ"|
715|"043010000"|"ﾐﾊﾖ ﾒﾈﾋﾈﾗﾈﾊﾈ, ﾑ. ﾒﾈﾋﾈﾗﾈﾊﾈ"|
716|"043010601"|"ﾎﾋﾞﾒﾎﾐﾑﾊﾎﾅ ﾎﾒﾄﾅﾋﾅﾍﾈﾅ N 6693, ﾑ. ﾒﾈﾋﾈﾗﾈﾊﾈ"|"30101810800000000601"
717|"043011000"|"ﾐﾊﾖ ﾒﾈﾃﾈﾋﾜ, ﾑ. ﾒﾈﾃﾈﾋﾜ"|
718|"043011601"|"ﾒﾈﾃﾈﾋﾜﾑﾊﾎﾅ ﾎﾒﾄﾅﾋﾅﾍﾈﾅ N 7465, ﾑ. ﾒﾈﾃﾈﾋﾜ"|"30101810700000000601"
719|"043012000"|"ﾐﾊﾖ ﾊﾀﾌﾅﾍﾑﾊﾎﾅ, ﾑ. ﾊﾀﾌﾅﾍﾑﾊﾎﾅ"|
720|"043014000"|"ﾐﾊﾖ ﾑﾎﾁﾎﾋﾅﾂﾎ, ﾑ. ﾑﾎﾁﾎﾋﾅﾂﾎ"|
721|"043015000"|"ﾐﾊﾖ ﾌﾈﾋﾜﾊﾎﾂﾎ, ﾑ. ﾌﾈﾋﾜﾊﾎﾂﾎ"|
722|"043015601"|"ﾌﾈﾋﾜﾊﾎﾂﾑﾊﾎﾅ ﾎﾒﾄﾅﾋﾅﾍﾈﾅ N 5492, ﾑ. ﾌﾈﾋﾜﾊﾎﾂﾎ"|"30101810300000000601"
723|"043021000"|"ﾐﾊﾖ ﾂﾈﾋﾞﾗﾈﾍﾑﾊ, ﾃ. ﾂﾈﾋﾞﾗﾈﾍﾑﾊ"|
724|"043081002"|"ﾏﾓ ﾁﾀﾍﾊﾀ ﾐﾎﾑﾑﾈﾈ ﾀﾂﾀﾗﾈﾍﾑﾊﾎﾅ, ﾃ. ﾂﾈﾋﾞﾗﾈﾍﾑﾊ-3"|
725|"043083002"|"ﾏﾓ ﾁﾀﾍﾊﾀ ﾐﾎﾑﾑﾈﾈ ﾟﾊﾎﾐﾍﾎﾅ, ﾃ. ﾏﾅﾒﾐﾎﾏﾀﾂﾋﾎﾂﾑﾊ-ﾊﾀﾌﾗﾀﾒﾑﾊ.13"|
726|"043203000"|"ﾐﾊﾖ ﾞﾐﾃﾀ, ﾃ. ﾞﾐﾃﾀ"|
727|"043205000"|"ﾐﾊﾖ ﾌﾛﾑﾊﾈ, ﾃ. ﾌﾛﾑﾊﾈ"|
728|"043205772"|"ﾓﾃﾋﾅﾌﾅﾒﾁﾀﾍﾊ"", ﾃ. ﾌﾅﾆﾄﾓﾐﾅﾗﾅﾍﾑﾊ"""|"30101810900000000772"
729|"043206000"|"ﾐﾊﾖ ﾒﾀﾘﾒﾀﾃﾎﾋ, ﾃ. ﾒﾀﾘﾒﾀﾃﾎﾋ"|
730|"043207001"|"ﾃﾐﾊﾖ ﾃﾓ ﾁﾀﾍﾊﾀ ﾐﾎﾑﾑﾈﾈ ﾏﾎ ﾊﾅﾌﾅﾐﾎﾂﾑﾊﾎﾉ ﾎﾁﾋ., ﾃ. ﾊﾅﾌﾅﾐﾎﾂﾎ"|
731|"043207720"|"ﾊﾅﾌﾑﾎﾖﾈﾍﾁﾀﾍﾊ"", ﾃ. ﾊﾅﾌﾅﾐﾎﾂﾎ"""|"30101810600000000720"
732|"043207776"|"ﾊﾃﾁ-ﾁﾊ"", ﾃ. ﾊﾅﾌﾅﾐﾎﾂﾎ"""|"30101810900000000776"
733|"043207780"|"ﾒﾀﾉﾄﾎﾍ"", ﾃ. ﾊﾅﾌﾅﾐﾎﾂﾎ"""|"30101810200000000780"
734|"043207793"|"ﾊﾓﾇﾁﾀﾑﾑﾕﾈﾌﾁﾀﾍﾊ"" (ﾎﾀﾎ), ﾃ. ﾊﾅﾌﾅﾐﾎﾂﾎ"""|"30101810200000000793"
735|"043207796"|"ﾊﾓﾇﾁﾀﾑﾑﾓﾃﾎﾋﾜﾁﾀﾍﾊ"", ﾃ. ﾊﾅﾌﾅﾐﾎﾂﾎ"""|"30101810100000000796"
736|"043209000"|"ﾐﾊﾖ ﾍﾎﾂﾎﾊﾓﾇﾍﾅﾖﾊ, ﾃ. ﾍﾎﾂﾎﾊﾓﾇﾍﾅﾖﾊ"|
737|"043209705"|"ﾀﾊﾁ ﾍﾌﾁ ﾎﾀﾎ, ﾃ. ﾍﾎﾂﾎﾊﾓﾇﾍﾅﾖﾊ"|"30101810700000000705"
738|"043209706"|"ﾁﾑﾒ-ﾁﾀﾍﾊ"" ﾇﾀﾎ, ﾃ. ﾍﾎﾂﾎﾊﾓﾇﾍﾅﾖﾊ"""|"30101810000000000706"
739|"043209740"|"ﾊﾓﾇﾍﾅﾖﾊﾁﾈﾇﾍﾅﾑﾁﾀﾍﾊ"", ﾃ. ﾍﾎﾂﾎﾊﾓﾇﾍﾅﾖﾊ"""|"30101810600000000740"
740|"043209770"|"ﾍﾎﾂﾎﾊﾈﾁ"", ﾃ. ﾍﾎﾂﾎﾊﾓﾇﾍﾅﾖﾊ"""|"30101810900000000770"
741|"043210000"|"ﾐﾊﾖ ﾋﾅﾍﾈﾍﾑﾊ-ﾊﾓﾇﾍﾅﾖﾊﾈﾉ, ﾃ. ﾋﾅﾍﾈﾍﾑﾊ-ﾊﾓﾇﾍﾅﾖﾊﾈﾉ"|
742|"043213000"|"ﾐﾊﾖ ﾏﾐﾎﾊﾎﾏﾜﾅﾂﾑﾊ, ﾃ. ﾏﾐﾎﾊﾎﾏﾜﾅﾂﾑﾊ"|
743|"043214000"|"ﾐﾊﾖ ﾁﾅﾋﾎﾂﾎ, ﾃ. ﾁﾅﾋﾎﾂﾎ"|
744|"043215000"|"ﾐﾊﾖ ﾀﾍﾆﾅﾐﾎ-ﾑﾓﾄﾆﾅﾍﾑﾊ, ﾃ. ﾀﾍﾆﾅﾐﾎ-ﾑﾓﾄﾆﾅﾍﾑﾊ"|
745|"043218000"|"ﾐﾊﾖ ﾊﾈﾑﾅﾋﾅﾂﾑﾊ, ﾃ. ﾊﾈﾑﾅﾋﾅﾂﾑﾊ"|
746|"043221000"|"ﾐﾊﾖ ﾟﾟ, ﾏﾃﾒ. ﾟﾟ"|
747|"043223000"|"ﾐﾊﾖ ﾊﾐﾀﾏﾈﾂﾈﾍﾑﾊﾈﾉ, ﾏﾃﾒ. ﾊﾐﾀﾏﾈﾂﾈﾍﾑﾊﾈﾉ"|
748|"043236000"|"ﾐﾊﾖ ﾌﾀﾐﾈﾈﾍﾑﾊ, ﾃ. ﾌﾀﾐﾈﾈﾍﾑﾊ"|
749|"043236759"|"ﾀﾐﾗﾅﾊﾀﾑ"", ﾃ. ﾌﾀﾐﾈﾈﾍﾑﾊ"""|"30101810600000000759"
750|"043226000"|"ﾐﾊﾖ ﾏﾐﾎﾌﾛﾘﾋﾅﾍﾍﾀﾟ, ﾏﾃﾒ. ﾏﾐﾎﾌﾛﾘﾋﾅﾍﾍﾀﾟ"|
751|"043217000"|"ﾐﾊﾖ ﾟﾘﾊﾈﾍﾎ, ﾏﾃﾒ. ﾟﾘﾊﾈﾍﾎ"|
752|"043228000"|"ﾐﾊﾖ ﾒﾟﾆﾈﾍﾑﾊﾈﾉ, ﾏﾃﾒ. ﾒﾟﾆﾈﾍﾑﾊﾈﾉ"|
753|"043289002"|"ﾏﾓ ﾁﾀﾍﾊﾀ ﾐﾎﾑﾑﾈﾈ ﾐﾅﾗﾍﾎﾅ, ﾃ. ﾊﾅﾌﾅﾐﾎﾂﾎ-2"|
754|"043304001"|"ﾃﾐﾊﾖ ﾃﾓ ﾁﾀﾍﾊﾀ ﾐﾎﾑﾑﾈﾈ ﾏﾎ ﾊﾈﾐﾎﾂﾑﾊﾎﾉ ﾎﾁﾋ., ﾃ. ﾊﾈﾐﾎﾂ"|
755|"043304609"|"ﾊﾈﾐﾎﾂﾑﾊﾎﾅ ﾎﾑﾁ N 8612, ﾃ. ﾊﾈﾐﾎﾂ"|"30101810500000000609"
756|"043304711"|"ﾕﾋﾛﾍﾎﾂ"", ﾃ. ﾊﾈﾐﾎﾂ"""|"30101810100000000711"
757|"043304728"|"ﾂﾟﾒﾊﾀ-ﾁﾀﾍﾊ"" ﾎﾀﾎ, ﾃ. ﾊﾈﾐﾎﾂ"""|"30101810300000000728"
758|"043304750"|"ﾏCﾁ"", ﾃ. ﾊﾈﾐﾎﾂ"""|"30101810200000000750"
759|"043304763"|"ﾑﾂﾟﾇﾜ-ﾁﾀﾍﾊ"", ﾃ. ﾊﾈﾐﾎﾂ"""|"30101810200000000763"
760|"043380002"|"ﾏﾓ ﾁﾀﾍﾊﾀ ﾐﾎﾑﾑﾈﾈ ﾏﾐﾈﾃﾎﾐﾎﾄﾍﾎﾅ, ﾏ. ﾏﾅﾐﾂﾎﾌﾀﾉﾑﾊﾈﾉ"|
761|"043381000"|"ﾐﾊﾖ ﾁﾅﾋﾀﾟ ﾕﾎﾋﾓﾍﾈﾖﾀ, ﾃ. ﾁﾅﾋﾀﾟ ﾕﾎﾋﾓﾍﾈﾖﾀ"|
762|"043382000"|"ﾐﾊﾖ ﾂﾟﾒﾑﾊﾈﾅ ﾏﾎﾋﾟﾍﾛ, ﾃ. ﾂﾟﾒﾑﾊﾈﾅ ﾏﾎﾋﾟﾍﾛ"|
763|"043383000"|"ﾐﾊﾖ ﾇﾓﾅﾂﾊﾀ, ﾃ. ﾇﾓﾅﾂﾊﾀ"|
764|"043384000"|"ﾐﾊﾖ ﾊﾈﾐﾎﾂﾎ-ﾗﾅﾏﾅﾖﾊ, ﾃ. ﾊﾈﾐﾎﾂﾎ-ﾗﾅﾏﾅﾖﾊ"|
765|"043385000"|"ﾐﾊﾖ ﾊﾈﾐﾑ, ﾃ. ﾊﾈﾐﾑ"|
766|"043386000"|"ﾐﾊﾖ ﾊﾎﾒﾅﾋﾜﾍﾈﾗ, ﾃ. ﾊﾎﾒﾅﾋﾜﾍﾈﾗ"|
767|"043387000"|"ﾐﾊﾖ ﾎﾌﾓﾒﾍﾈﾍﾑﾊ, ﾃ. ﾎﾌﾓﾒﾍﾈﾍﾑﾊ"|
768|"043388000"|"ﾐﾊﾖ ﾋﾓﾇﾀ, ﾃ. ﾋﾓﾇﾀ"|
769|"043389000"|"ﾐﾊﾖ ﾓﾐﾆﾓﾌ, ﾃ. ﾓﾐﾆﾓﾌ"|
770|"043391000"|"ﾐﾊﾖ ﾟﾐﾀﾍﾑﾊ, ﾃ. ﾟﾐﾀﾍﾑﾊ"|
771|"043413000"|"ﾐﾊﾖ ﾘﾀﾐﾜﾟ, ﾃ. ﾘﾀﾐﾜﾟ"|
772|"043442000"|"ﾐﾊﾖ ﾃﾀﾋﾈﾗ, ﾃ. ﾃﾀﾋﾈﾗ"|
773|"043442703"|"ﾃﾀﾋﾈﾗﾊﾎﾌﾁﾀﾍﾊ"", ﾃ. ﾃﾀﾋﾈﾗ"""|"30101810000000000703"
774|"043460000"|"ﾐﾊﾖ ﾌﾀﾊﾀﾐﾜﾅﾂ, ﾃ. ﾌﾀﾊﾀﾐﾜﾅﾂ"|
775|"043469001"|"ﾃﾐﾊﾖ ﾃﾓ ﾁﾀﾍﾊﾀ ﾐﾎﾑﾑﾈﾈ ﾏﾎ ﾊﾎﾑﾒﾐﾎﾌﾑﾊﾎﾉ ﾎﾁﾋ., ﾃ. ﾊﾎﾑﾒﾐﾎﾌﾀ"|
776|"043469623"|"ﾊﾎﾑﾒﾐﾎﾌﾑﾊﾎﾅ ﾎﾑﾁ N 8640, ﾃ. ﾊﾎﾑﾒﾐﾎﾌﾀ"|"30101810200000000623"
777|"043469710"|"ﾍﾅﾐﾅﾕﾒﾀﾊﾎﾌﾁﾀﾍﾊ"", ﾃ. ﾍﾅﾐﾅﾕﾒﾀ"""|"30101810100000000710"
778|"044585510"|"ﾒﾑﾁ"", ﾃ. ﾌﾎﾑﾊﾂﾀ"""|"30101810300000000510"
779|"043469714"|"ﾀﾊﾑﾎﾍﾁﾀﾍﾊ"", ﾃ. ﾊﾎﾑﾒﾐﾎﾌﾀ"""|"30101810300000000714"
780|"043469720"|"ﾊﾎﾑﾒﾐﾎﾌﾀﾑﾅﾋﾜﾊﾎﾌﾁﾀﾍﾊ"", ﾃ. ﾊﾎﾑﾒﾐﾎﾌﾀ"""|"30101810200000000720"
781|"043470000"|"ﾐﾊﾖ ﾂﾎﾕﾌﾀ, ﾏ. ﾂﾎﾕﾌﾀ"|
782|"043471000"|"ﾐﾊﾖ ﾊﾎﾋﾎﾃﾐﾈﾂ, ﾃ. ﾊﾎﾋﾎﾃﾐﾈﾂ"|
783|"043475000"|"ﾐﾊﾖ ﾌﾀﾍﾒﾓﾐﾎﾂﾎ, ﾃ. ﾌﾀﾍﾒﾓﾐﾎﾂﾎ"|
784|"043477000"|"ﾐﾊﾖ ﾍﾅﾟ, ﾃ. ﾍﾅﾟ"|
785|"043480002"|"ﾏﾓ ﾁﾀﾍﾊﾀ ﾐﾎﾑﾑﾈﾈ ﾓﾋﾜﾟﾍﾎﾂﾑﾊﾎﾅ, ﾃ. ﾊﾎﾑﾒﾐﾎﾌﾀ 40"|
786|"043482000"|"ﾐﾊﾖ ﾁﾓﾉ, ﾃ. ﾁﾓﾉ"|
787|"043469743"|"ﾑﾎﾂﾊﾎﾌﾁﾀﾍﾊ"", ﾃ. ﾊﾎﾑﾒﾐﾎﾌﾀ"""|"30101810300000000743"
788|"043483000"|"ﾐﾊﾖ ﾗﾓﾕﾋﾎﾌﾀ, ﾃ. ﾗﾓﾕﾋﾎﾌﾀ"|
789|"043494000"|"ﾐﾊﾖ ﾏﾎﾍﾀﾇﾛﾐﾅﾂﾎ, ﾃ. ﾏﾎﾍﾀﾇﾛﾐﾅﾂﾎ"|
790|"043601001"|"ﾃﾐﾊﾖ ﾃﾓ ﾁﾀﾍﾊﾀ ﾐﾎﾑﾑﾈﾈ ﾏﾎ ﾑﾀﾌﾀﾐﾑﾊﾎﾉ ﾎﾁﾋ., ﾃ. ﾑﾀﾌﾀﾐﾀ"|
791|"043601607"|"ﾏﾎﾂﾎﾋﾆﾑﾊﾈﾉ ﾁﾀﾍﾊ ﾑﾁﾅﾐﾁﾀﾍﾊﾀ ﾐﾔ, ﾃ. ﾑﾀﾌﾀﾐﾀ"|"30101810200000000607"
792|"043601706"|"ﾑﾎﾋﾈﾄﾀﾐﾍﾎﾑﾒﾜ"", ﾃ. ﾑﾀﾌﾀﾐﾀ"""|"30101810800000000706"
793|"044525233"|"ﾏﾅﾐﾂﾎﾅ ﾎﾂﾊ"" (ﾎﾀﾎ), ﾃ. ﾌﾎﾑﾊﾂﾀ"""|"30101810900000000233"
794|"043601709"|"ﾂﾎﾋﾃﾎ-ﾊﾀﾌﾑﾊﾈﾉ ﾁﾀﾍﾊ"", ﾃ. ﾑﾀﾌﾀﾐﾀ"""|"30101810700000000709"
795|"043678801"|"ﾎﾀﾎ ﾍﾀﾖﾈﾎﾍﾀﾋﾜﾍﾛﾉ ﾒﾎﾐﾃﾎﾂﾛﾉ ﾁﾀﾍﾊ, ﾃ. ﾒﾎﾋﾜﾟﾒﾒﾈ"|"30101810600000000801"
796|"043606811"|"ﾇﾅﾌﾑﾊﾈﾉ ﾁﾀﾍﾊ"", ﾃ. ﾑﾛﾇﾐﾀﾍﾜ"""|"30101810800000000811"
797|"043678821"|"ﾋﾅﾏﾒﾀﾁﾀﾍﾊ"", ﾃ. ﾒﾎﾋﾜﾟﾒﾒﾈ"""|"30101810800000000821"
798|"043601863"|"ﾃﾀﾇﾁﾀﾍﾊ"", ﾃ. ﾑﾀﾌﾀﾐﾀ"""|"30101810400000000863"
799|"043601869"|"ﾂﾑﾁ"", ﾃ. ﾑﾀﾌﾀﾐﾀ"""|"30101810200000000869"
800|"043601878"|"ﾝﾋﾊﾀﾁﾀﾍﾊ"", ﾃ. ﾑﾀﾌﾀﾐﾀ"""|"30101810000000000878"
801|"043601914"|"ﾑﾀﾌﾀﾐﾑﾊﾈﾉ ﾊﾐﾅﾄﾈﾒ"", ﾃ. ﾑﾀﾌﾀﾐﾀ"""|"30101810100000000914"
802|"043602000"|"ﾐﾊﾖ ﾑﾀﾌﾀﾐﾀ, ﾃ. ﾑﾀﾌﾀﾐﾀ"|
803|"043602782"|"ﾏﾐﾎﾌﾀﾂﾒﾎﾁﾀﾍﾊ"", ﾃ. ﾑﾀﾌﾀﾐﾀ"""|"30101810300000000782"
804|"043602794"|"ﾂﾊﾁ"", ﾃ. ﾑﾀﾌﾀﾐﾀ"""|"30101810000000000794"
805|"044585423"|"ﾓﾍﾈﾔﾈﾍ"" ﾇﾀﾎ, ﾃ. ﾌﾎﾑﾊﾂﾀ"""|"30101810400000000423"
806|"043602830"|"ﾈﾏﾎﾇﾅﾌﾁﾀﾍﾊ"", ﾃ. ﾑﾀﾌﾀﾐﾀ"""|"30101810100000000830"
807|"043602844"|"ﾀﾂﾒﾎﾂﾀﾇﾁﾀﾍﾊ"" ﾃﾅﾎﾐﾃﾈﾅﾂﾑﾊﾈﾉ, ﾃ. ﾑﾀﾌﾀﾐﾀ"""|"30101810400000000844"
808|"043602921"|"ﾂﾎﾋﾆﾑﾊﾈﾉ ﾓﾍﾈﾂﾅﾐﾑﾀﾋﾜﾍﾛﾉ ﾁﾀﾍﾊ"", ﾃ. ﾑﾀﾌﾀﾐﾀ"""|"30101810200000000921"
809|"043606000"|"ﾐﾊﾖ ﾑﾛﾇﾐﾀﾍﾜ, ﾃ. ﾑﾛﾇﾐﾀﾍﾜ"|
810|"043606734"|"ﾔﾈﾋﾈﾀﾋ ﾎﾀﾎ ﾀﾂﾒﾎﾂﾀﾇﾁﾀﾍﾊ ﾂ ﾃ.ﾑﾛﾇﾐﾀﾍﾈ, ﾃ. ﾑﾛﾇﾐﾀﾍﾜ"|"30101810000000000734"
811|"043626000"|"ﾐﾊﾖ ﾁﾅﾇﾅﾍﾗﾓﾊ, ﾏﾃﾒ. ﾁﾅﾇﾅﾍﾗﾓﾊ"|
812|"043657733"|"ﾂﾊﾁ"", ﾃ. ﾗﾀﾏﾀﾅﾂﾑﾊ"""|"30101810100000000733"
813|"043632000"|"ﾐﾊﾖ ﾊﾈﾍﾅﾋﾜ, ﾃ. ﾊﾈﾍﾅﾋﾜ"|
814|"043655000"|"ﾐﾊﾖ ﾏﾎﾕﾂﾈﾑﾒﾍﾅﾂﾎ, ﾃ. ﾏﾎﾕﾂﾈﾑﾒﾍﾅﾂﾎ"|
815|"043657000"|"ﾐﾊﾖ ﾗﾀﾏﾀﾅﾂﾑﾊ, ﾃ. ﾗﾀﾏﾀﾅﾂﾑﾊ"|
816|"043669716"|"ﾑﾎﾋﾈﾄﾀﾐﾍﾎﾑﾒﾜ""ﾂﾃ.ﾍﾎﾂﾎﾊﾓﾉﾁﾛﾘﾅﾂﾑﾊﾅ, ﾃ. ﾍﾎﾂﾎﾊﾓﾉﾁﾛﾘﾅﾂﾑﾊ"""|"30101810900000000716"
817|"043669000"|"ﾐﾊﾖ ﾍﾎﾂﾎﾊﾓﾉﾁﾛﾘﾅﾂﾑﾊ, ﾃ. ﾍﾎﾂﾎﾊﾓﾉﾁﾛﾘﾅﾂﾑﾊ"|
818|"043669868"|"ﾂﾊﾁ"", ﾃ. ﾍﾎﾂﾎﾊﾓﾉﾁﾛﾘﾅﾂﾑﾊ"""|"30101810900000000868"
819|"043672000"|"ﾐﾊﾖ ﾑﾅﾐﾃﾈﾅﾂﾑﾊ, ﾑ. ﾑﾅﾐﾃﾈﾅﾂﾑﾊ"|
820|"043677000"|"ﾐﾊﾖ ﾗﾅﾋﾍﾎ-ﾂﾅﾐﾘﾈﾍﾛ, ﾑ. ﾗﾅﾋﾍﾎ-ﾂﾅﾐﾘﾈﾍﾛ"|
821|"043678000"|"ﾐﾊﾖ ﾒﾎﾋﾜﾟﾒﾒﾈ, ﾃ. ﾒﾎﾋﾜﾟﾒﾒﾈ"|
822|"043678700"|"ﾎﾀﾎ ﾀﾂﾒﾎﾂﾀﾇﾁﾀﾍﾊ, ﾃ. ﾒﾎﾋﾜﾟﾒﾒﾈ"|"30101810400000000700"
823|"043678763"|"ﾏﾎﾒﾅﾍﾖﾈﾀﾋﾁﾀﾍﾊ"", ﾃ. ﾆﾈﾃﾓﾋﾅﾂﾑﾊ"""|"30101810900000000763"
824|"043678838"|"ﾒﾎﾋﾜﾟﾒﾒﾈﾕﾈﾌﾁﾀﾍﾊ"" (ﾇﾀﾎ), ﾃ. ﾒﾎﾋﾜﾟﾒﾒﾈ"""|"30101810000000000838"
825|"043669860"|"ﾍﾎﾂﾀ ﾁﾀﾍﾊ"", ﾃ. ﾍﾎﾂﾎﾊﾓﾉﾁﾛﾘﾅﾂﾑﾊ"""|"30101810500000000860"
826|"043680002"|"ﾏﾓ ﾁﾀﾍﾊﾀ ﾐﾎﾑﾑﾈﾈ ﾐﾅﾗﾍﾎﾅ, ﾃ. ﾑﾀﾌﾀﾐﾀ-87"|
