"id"	"BIK"	"namebanka"	"korschet"	"UpDateFlag"
937	"044253000"	"пйж вюокшцхм, ц. вюокшцхм"	""	
938	"044255000"	"пйж сялюмэ, ц. сялюмэ"	""	
939	"044261000"	"пйж днапхмйю, оцр. днапхмйю"	""	
940	"044442001"	"цпйж цс аюмйю пняяхх он люцюдюмяйни нак., ц. люцюдюм"	""	
941	"044442607"	"яебепн-бнярнвмши аюмй яаепаюмйю пняяхх, ц. люцюдюм"	"30101810300000000607"	
942	"044442716"	"бнгпнфдемхе"" (нюн), ц. люцюдюм"""	"30101810000000000716"	
943	"044442740"	"йнкшлю-аюмй"", ц. люцюдюм"""	"30101810500000000740"	
944	"044442788"	"мюдефмши аюмй"" (нюн), ц. люцюдюм"""	"30101810300000000788"	
945	"044442797"	"люцюдюмяйхи"", ц. люцюдюм"""	"30101810100000000797"	
946	"044449000"	"пйж яеилвюм, оцр. яеилвюм"	""	
947	"044453000"	"пйж нлясйвюм, оцр. нлясйвюм"	""	
948	"044453726"	"йнкшлю-аюмй"" тхкхюк б оцр нлясйвюм, оцр. нлясйвюм"""	"30101810300000000726"	
949	"044454000"	"пйж нпнрсйюм, оцр. нпнрсйюм"	""	
950	"044454754"	"йнкшлю-аюмй"" тхкхюк б оцр яхмецнпэе, оцр. яхмецнпэе"""	"30101810900000000754"	
951	"044455000"	"пйж оюкюрйю, оцр. оюкюрйю"	""	
952	"044456000"	"пйж ясяслюм, ц. ясяслюм"	""	
953	"044456732"	"йнкшлю-аюмй"" тхкхюк б ц ясяслюме, ц. ясяслюм"""	"30101810900000000732"	
954	"044457000"	"пйж сярэ-нлвсц, оцр. сярэ-нлвсц"	""	
955	"044457720"	"йнкшлю-аюмй"" тхкхюк б оцр сярэ-нлвсц, оцр. сярэ-нлвсц"""	"30101810100000000720"	
956	"044460000"	"пйж нкю, оцр. нкю"	""	
957	"044469000"	"пйж ъцндмне, оцр. ъцндмне"	""	
958	"044469729"	"йнкшлю-аюмй"" тхкхюк б оцр ъцндмне, оцр. ъцндмне"""	"30101810900000000729"	
959	"044583871"	"опенднкемхе"", ц. лняйбю"""	"30101810100000000871"	
960	"044583974"	"ухллюьаюмй"", ц. лняйбю"""	"30101810900000000974"	
961	"044579966"	"лхйнля-аюмй"" (гюн), ц. лняйбю"""	"30101810500000000966"	
962	"044579637"	"менонкхя-аюмй"", ц. лняйбю"""	"30101810800000000637"	
963	"044585507"	"якюбхъ"" (гюн), ц. лняйбю"""	"30101810300000000507"	
964	"044585568"	"хтйн-аюмй"", ц. лняйбю"""	"30101810200000000568"	
965	"043678960"	"чмхраюмй"" (гюн), ц. рнкэъррх"""	"30101810800000000960"	
966	"044583876"	"юйюделухлаюмй"", ц. лняйбю"""	"30101810600000000876"	
967	"044583982"	"янжщйнмнлаюмй"" ннн, ц. лняйбю"""	"30101810400000000982"	
968	"044579879"	"лефрпюяраюмй"", ц. лняйбю"""	"30101810600000000879"	
969	"044583896"	"цюгярпниаюмй"", ц. лняйбю"""	"30101810800000000896"	
970	"044583882"	"ебпнйпедхр"" (ннн), ц. лняйбю"""	"30101810500000000882"	
971	"044585576"	"смхбепяюкэмши йпедхр"", ц. лняйбю"""	"30101810700000000576"	
972	"044552533"	"хмректхмюмя"" (ннн), ц. лняйбю"""	"30101810800000000533"	
973	"044552672"	"пхмй-аюмй"" нюн, ц. лняйбю"""	"30101810800000000672"	
974	"044525907"	"ябю"" (нюн), ц. лняйбю"""	"30101810100000000907"	
975	"044552647"	"йемрюбп"" ннн, ц. лняйбю"""	"30101810000000000647"	
976	"044585788"	"якюбъмяйхи йпедхр"", ц. лняйбю"""	"30101810200000000788"	
977	"044583551"	"юпеяаюмй"", ц. лняйбю"""	"30101810200000000551"	
978	"044653717"	"ала"" (ннн), ц. мнцхмяй"""	"30101810500000000717"	
979	"044583904"	"тнмдяепбхяаюмй"", ц. лняйбю"""	"30101810200000000904"	
980	"044552699"	"йнлсмхаюмй"", ц. лняйбю"""	"30101810100000000699"	
981	"044583990"	"нпцпщя-аюмй"" (нюн), ц. лняйбю"""	"30101810900000000990"	
982	"044583923"	"янчгопнлаюмй"" ннн, ц. лняйбю"""	"30101810100000000923"	
983	"044552618"	"юкцнмаюмй"" (гюн), ц. лняйбю"""	"30101810000000000618"	
984	"044599957"	"хмрепйпедхр"" (гюн), ц. лняйбю"""	"30101810300000000957"	
985	"044525942"	"пца"" (нюн), ц. лняйбю"""	"30101810000000000942"	
986	"044552641"	"ларя-аюмй"", ц. лняйбю"""	"30101810200000000641"	
987	"044583224"	"аюмй йпт"", ц. лняйбю"""	"30101810100000000224"	
988	"044583373"	"кецхнм"" (ннн), ц. лняйбю"""	"30101810200000000373"	
989	"044583919"	"пеяспя-рпюяр"", ц. лняйбю"""	"30101810800000000919"	
990	"044585664"	"лефопнлаюмй"" (нюн), ц. лняйбю"""	"30101810900000000664"	
991	"044599743"	"йпедхррпюяр"", ц. лняйбю"""	"30101810200000000743"	
992	"044525762"	"ебпнрпюяр"" (гюн), ц. лняйбю"""	"30101810400000000762"	
993	"044583920"	"абр"" (ннн), ц. лняйбю"""	"30101810200000000920"	
994	"044583918"	"ятхмйя-аюмй"", ц. лняйбю"""	"30101810500000000918"	
995	"044583906"	"лнкндефмши"", ц. лняйбю"""	"30101810800000000906"	
996	"044583971"	"бхръгэ"" - (ннн), ц. лняйбю"""	"30101810000000000971"	
997	"044583495"	"яюа"" (ннн), ц. лняйбю"""	"30101810900000000495"	
998	"044599457"	"щйяопеяя-йпедхр"", ц. лняйбю"""	"30101810800000000457"	
999	"044552568"	"тнпоняр"" (гюн), ц. лняйбю"""	"30101810600000000568"	
1═000	"044525976"	"юаянкчр аюмй"" (гюн), ц. лняйбю"""	"30101810500000000976"	
1═001	"044525311"	"хмбеяряаепаюмй"" (гюн), ц. лняйбю"""	"30101810000000000311"	
1═002	"044583329"	"апхгаюмй"", ц. лняйбю"""	"30101810500000000329"	
1═003	"044552522"	"люйопнлаюмй"" (ннн), ц. лняйбю"""	"30101810400000000522"	
1═004	"044585768"	"хмрецпюк"", ц. лняйбю"""	"30101810000000000768"	
1═005	"044583328"	"пла"" ннн, ц. лняйбю"""	"30101810200000000328"	
1═006	"044583310"	"йах аюмй ннн, ц. лняйбю"	"30101810700000000310"	
1═007	"044585460"	"щйяонаюмй"" ннн, ц. лняйбю"""	"30101810900000000460"	
1═008	"044583323"	"янчгнаыелюьаюмй"" (нюн), ц. лняйбю"""	"30101810700000000323"	
1═009	"044552621"	"юмрюкаюмй"" ннн, ц. лняйбю"""	"30101810000000000621"	
1═010	"044579216"	"оепбши йюохрюк"", ц. лняйбю"""	"30101810700000000216"	
1═011	"044585669"	"щйярпнаюмй"" (гюн), ц. лняйбю"""	"30101810400000000669"	
1═012	"044585662"	"назедхмеммши цнпмши аюмй"" (ннн), ц. лняйбю"""	"30101810300000000662"	
1═013	"044583325"	"ярнкшохм"" (гюн), ц. лняйбю"""	"30101810300000000325"	
1═014	"044583334"	"ледхмбеяраюмй"", ц. лняйбю"""	"30101810100000000334"	
1═015	"044579326"	"рпюмяярпниаюмй"" (гюн), ц. лняйбю"""	"30101810700000000326"	
1═016	"044585857"	"пняюбрнаюмй"", ц. лняйбю"""	"30101810500000000857"	
1═017	"044583989"	"мпа"" ннн, ц. лняйбю"""	"30101810500000000989"	
1═018	"044583490"	"пеярюбпюжхъярпниаюмй"", ц. лняйбю"""	"30101810400000000490"	
1═019	"044552697"	"юрхя"", ц. лняйбю"""	"30101810500000000697"	
1═020	"044585742"	"бей"", ц. лняйбю"""	"30101810000000000742"	
1═021	"044525187"	"нюн бмеьрнпцаюмй, ц. лняйбю"	"30101810700000000187"	
1═022	"044525060"	"бмеьщйнмнлаюмй"", ц. лняйбю"""	"30101810500000000060"	
1═023	"044525922"	"йла-аюмй (гюн), ц. лняйбю"	"30101810800000000922"	
1═024	"044525256"	"пняаюмй"", ц. лняйбю"""	"30101810000000000256"	
1═025	"044525925"	"юяа-аюмй"", ц. лняйбю"""	"30101810700000000925"	
1═026	"044525466"	"лдл-аюмй"", ц. лняйбю"""	"30101810900000000466"	
1═027	"044585668"	"чмхйаюмй"", ц. лняйбю"""	"30101810100000000668"	
1═028	"044552772"	"лняспюкаюмй"", ц. лняйбю"""	"30101810700000000772"	
1═029	"044583932"	"йкхемряйхи"" (нюн), ц. лняйбю"""	"30101810900000000932"	
1═030	"044525774"	"юбрнаюмй-мхйник"", ц. лняйбю"""	"30101810100000000774"	
1═031	"044583125"	"лнпяйни аюмй (нюн), ц. лняйбю"	"30101810500000000125"	
1═032	"044525921"	"йнмбепяаюмй"", ц. лняйбю"""	"30101810500000000921"	
1═033	"044525823"	"цюгопнлаюмй"" (гюн), ц. лняйбю"""	"30101810200000000823"	
1═034	"044583825"	"щкейрпнмхйю"" нюн, ц. лняйбю"""	"30101810800000000825"	
1═035	"044525829"	"якюбъмяйхи аюмй"" (гюн), ц. лняйбю"""	"30101810000000000829"	
1═036	"044525831"	"ткнпю-лняйбю"", ц. лняйбю"""	"30101810700000000831"	
1═037	"044525832"	"люа"", ц. лняйбю"""	"30101810000000000832"	
1═038	"044525838"	"псяяйхи аюмй декнбнцн янрпсдмхвеярбю"", ц. лняйбю"""	"30101810800000000838"	
1═039	"044585749"	"пйа"", ц. лняйбю"""	"30101810100000000749"	
1═040	"044525848"	"ябъгэ-аюмй"", ц. лняйбю"""	"30101810900000000848"	
1═041	"049205844"	"аюмй йюгюмх"", ц. йюгюмэ"""	"30101810100000000844"	
1═042	"044583859"	"опелэеп"" гюн, ц. лняйбю"""	"30101810300000000859"	
1═043	"044525874"	"пнярпюаюмй"", ц. лняйбю"""	"30101810000000000874"	
1═044	"044583888"	"бера"" гюн, ц. лняйбю"""	"30101810300000000888"	
1═045	"044583893"	"йбнрю-аюмй"", ц. лняйбю"""	"30101810900000000893"	
1═046	"044579899"	"яхп"" (нюн), ц. лняйбю"""	"30101810800000000899"	
1═047	"044525232"	"лапп"" (нюн), ц. лняйбю"""	"30101810600000000232"	
1═048	"044536002"	"тхмюмянбши д-р аюмйю пняяхх, ц. лняйбю 701"	""	
1═049	"044537002"	"д-р асусверю х нрвермнярх аюмйю пняяхх, ц. лняйбю 701"	""	
1═050	"044577002"	"цкюбмши жемрп хмтнплюрхгюжхх аюмй пняяхх, ц. лняйбю"	""	
1═051	"044585563"	"мюдефмши аюмй"" (нюн), ц. лняйбю"""	"30101810700000000563"	
1═052	"044579476"	"лняйнлаюмй"", ц. лняйбю"""	"30101810100000000476"	
1═053	"044583980"	"аюмй йхреф"", ц. лняйбю"""	"30101810800000000980"	
1═054	"044585960"	"пняопнлаюмй"" (ннн), ц. лняйбю"""	"30101810400000000960"	
1═055	"044583361"	"псмщраюмй, ц. лняйбю"	"30101810500000000361"	
1═056	"044585967"	"беяр"", ц. лняйбю"""	"30101810500000000967"	
1═057	"044585400"	"псяяйхи аюмйхпяйхи днл"" (гюн), ц. лняйбю"""	"30101810300000000400"	
1═058	"044525337"	"пахн"" (нюн), ц. лняйбю"""	"30101810000000000337"	
1═059	"044583993"	"ярюпши йпелкэ"" (ннн), ц. лняйбю"""	"30101810800000000993"	
1═060	"044599755"	"рсяюпаюмй"", ц. лняйбю"""	"30101810900000000755"	
1═061	"044579378"	"нол-аюмй"", ц. лняйбю"""	"30101810800000000378"	
1═062	"044583271"	"цпхмтхкдаюмй"", ц. лняйбю"""	"30101810700000000271"	
1═063	"044552634"	"пхаюмй"", ц. лняйбю"""	"30101810000000000634"	
1═064	"044583496"	"метрецюгаюмй"" (гюн), ц. лняйбю"""	"30101810200000000496"	
1═065	"044583378"	"йнмрпюяр-аюмй"", ц. лняйбю"""	"30101810700000000378"	
1═066	"044583472"	"птр"", ц. лняйбю"""	"30101810800000000472"	
1═067	"044579425"	"апо"", ц. лняйбю"""	"30101810300000000425"	
1═068	"044585970"	"цпюмд хмбеяр аюмй"", ц. лняйбю"""	"30101810500000000970"	
1═069	"044552519"	"кхапю"" ннн, ц. лняйбю"""	"30101810400000000519"	
1═070	"044583381"	"кюираюмй"", ц. лняйбю"""	"30101810700000000381"	
1═071	"044552656"	"оскэя ярнкхжш"", ц. лняйбю"""	"30101810800000000656"	
1═072	"044585775"	"лефпецхнмюкэмши онврнбши аюмй"" ннн, ц. лняйбю"""	"30101810200000000775"	
1═073	"044552659"	"лхйн-аюмй"" ннн, ц. лняйбю"""	"30101810700000000659"	
1═074	"044585629"	"оюмщлярпниаюмй"", ц. лняйбю"""	"30101810000000000629"	
1═075	"044583082"	"пхйнл"", ц. лняйбю"""	"30101810300000000082"	
1═076	"044585520"	"лмха"", ц. лняйбю"""	"30101810400000000520"	
1═077	"044585464"	"нораюмй"", ц. лняйбю"""	"30101810100000000464"	
1═078	"044552671"	"юцпнухлаюмй"", ц. лняйбю"""	"30101810500000000671"	
1═079	"044585721"	"лха"", ц. лняйбю"""	"30101810500000000721"	
1═080	"044585474"	"йюохрюк-лняйбю"" (гюн), ц. лняйбю"""	"30101810200000000474"	
1═081	"044579385"	"ондбнпэе аюмй"" (ннн), ц. лняйбю"""	"30101810000000000385"	
1═082	"044583088"	"ебпнюкэъмя"", ц. лняйбю"""	"30101810100000000088"	
1═083	"044585777"	"пняебпнаюмй"" (нюн), ц. лняйбю"""	"30101810800000000777"	
1═084	"044583524"	"смхбепаюмй"" (нюн), ц. лняйбю"""	"30101810800000000524"	
1═085	"044583059"	"тэчвеп"" (нюн), ц. лняйбю"""	"30101810100000000059"	
1═086	"044579776"	"наох"" (нюн), ц. лняйбю"""	"30101810800000000776"	
1═087	"044579901"	"янйнкнбяйхи"", ц. лняйбю"""	"30101810400000000901"	
1═088	"044552768"	"ебпнгюояхааюмй"" (ннн), ц. лняйбю"""	"30101810400000000768"	
1═089	"044579785"	"цсаепмяйхи"" (ннн), ц. лняйбю"""	"30101810600000000785"	
1═090	"044579264"	"бшлоек"", ц. лняйбю"""	"30101810600000000264"	
1═091	"044579311"	"юклюг-хмбеяр-аюмй"", ц. лняйбю"""	"30101810100000000311"	
1═092	"044579690"	"хмярпниаюмй"", ц. лняйбю"""	"30101810300000000690"	
1═093	"044579215"	"айт"", ц. лняйбю"""	"30101810400000000215"	
1═094	"044525201"	"юбюмцюпд"", ц. лняйбю"""	"30101810000000000201"	
1═095	"049033780"	"дхц-аюмй"" (нюн), ц. бкюдхйюбйюг"""	"30101810500000000780"	
1═096	"044583870"	"юаа"" (нюн), ц. лняйбю"""	"30101810800000000870"	
1═097	"044579802"	"пеяосакхйюмяйхи йпедхрмши юкэъмя"" ннн, ц. лняйбю"""	"30101810800000000802"	
1═098	"044579686"	"юпяемюк"" ннн, ц. лняйбю"""	"30101810000000000686"	
1═099	"044552682"	"янтхъ"" (гюн), ц. лняйбю"""	"30101810900000000682"	
1═100	"044552643"	"ледопнлхмбеяраюмй"" (нюн), ц. лняйбю"""	"30101810800000000643"	
1═101	"044579213"	"жемрпйнлаюмй ннн, ц. лняйбю"	"30101810800000000213"	
1═102	"044579499"	"лерюккспц"", ц. лняйбю"""	"30101810200000000499"	
1═103	"044525984"	"бхгюбх"", ц. лняйбю"""	"30101810000000000984"	
1═104	"044579579"	"юпаюр-аюмй"" ннн, ц. лняйбю"""	"30101810900000000579"	
1═105	"044579237"	"чцпю"" б ц.лняйбе, ц. лняйбю"""	"30101810200000000237"	
1═106	"044552782"	"лняйнбяйхи йюохрюк"" (ннн), ц. лняйбю"""	"30101810800000000782"	
1═107	"044585730"	"люяреп-йюохрюк"" (нюн), ц. лняйбю"""	"30101810300000000730"	
1═108	"044579910"	"ункдхмц-йпедхр"" ннн, ц. лняйбю"""	"30101810200000000910"	
1═109	"044579520"	"рперхи пхл"" (гюн), ц. лняйбю"""	"30101810700000000520"	
1═110	"044583343"	"пра-аюмй"", ц. лняйбю"""	"30101810900000000343"	
1═111	"044599766"	"хмбеярпюяраюмй"" (ннн), ц. лняйбю"""	"30101810300000000766"	
1═112	"044583868"	"хр-аюмй"" (ннн), ц. лняйбю"""	"30101810100000000868"	
1═113	"044579816"	"ярпнийпедхрхмбеяр"", ц. лняйбю"""	"30101810100000000816"	
1═114	"044599892"	"йбеяр"" (нюн), ц. лняйбю"""	"30101810300000000892"	
1═115	"044579691"	"хмрецпн"" нюн, ц. лняйбю"""	"30101810600000000691"	
1═116	"044579995"	"кнцня"", ц. лняйбю"""	"30101810500000000995"	
1═117	"044579330"	"опнтхр аюмй"", ц. лняйбю"""	"30101810000000000330"	
1═118	"044579580"	"фхкярпниаюмй"", ц. лняйбю"""	"30101810300000000580"	
1═119	"044552902"	"мюжахгмеяаюмй"" (ннн), ц. лняйбю"""	"30101810800000000902"	
1═120	"044525222"	"хмц аюмй (ебпюгхъ) гюн"", ц. лняйбю"""	"30101810500000000222"	
1═121	"044579773"	"йпнямю-аюмй"" (нюн), ц. лняйбю"""	"30101810900000000773"	
1═122	"044585342"	"лняйнлопхбюраюмй"", ц. лняйбю"""	"30101810400000000342"	
1═123	"044525703"	"рпюяр"" (нюн), ц. лняйбю"""	"30101810100000000703"	
1═124	"044579693"	"птц-аюмй"", ц. лняйбю"""	"30101810200000000693"	
1═125	"044579471"	"йнкнп-аюмй"" (гюн), ц. лняйбю"""	"30101810600000000471"	
1═126	"044579759"	"гюояхайнлаюмй"" нюн, ц. лняйбю"""	"30101810500000000759"	
1═127	"044585555"	"тюкэйнм"" (нюн), ц. лняйбю"""	"30101810200000000555"	
1═128	"044583143"	"аюмй мнбнпняяхияйю"", ц. лняйбю"""	"30101810100000000143"	
1═129	"044585441"	"вй-аюмй"" (ннн), ц. лняйбю"""	"30101810000000000441"	
1═130	"044585665"	"лепхраюмй"" ннн, ц. лняйбю"""	"30101810200000000665"	
1═131	"044579610"	"псмю-аюмй"", ц. лняйбю"""	"30101810500000000610"	
1═132	"044552821"	"мабй"" (гюн), ц. лняйбю"""	"30101810800000000821"	
1═133	"044566002"	"д-р щлхяя.-йюя. ноепюжхи аюмйю пняяхх, ц. лняйбю 701"	""	
1═134	"044579000"	"нрдекемхе 4 лняйнбяйнцн црс аюмйю пняяхх, ц. лняйбю 309"	""	
1═135	"044579101"	"лап-аюмй"", ц. лняйбю"""	"30101810200000000101"	
1═136	"044579103"	"оюбекежйхи"", ц. лняйбю"""	"30101810800000000103"	
1═137	"044579104"	"жемрпюкэмн-ебпноеияйхи аюмй"", ц. лняйбю"""	"30101810100000000104"	
1═138	"044585358"	"тедепюкэмши аюмй пюгбхрхъ"" (нюн), ц. лняйбю"""	"30101810300000000358"	
1═139	"044579110"	"хмрепйнноаюмй"" (нюн), ц. лняйбю"""	"30101810000000000110"	
1═140	"044579111"	"щйнмнлхвеяйхи янчг"" ннн, ц. лняйбю"""	"30101810300000000111"	
1═141	"044579112"	"лх-аюмй"" (нюн), ц. лняйбю"""	"30101810600000000112"	
1═142	"044579113"	"ункдхмбеяраюмй"", ц. лняйбю"""	"30101810900000000113"	
1═143	"044585449"	"яхярелю"" ннн, ц. лняйбю"""	"30101810400000000449"	
1═144	"044552964"	"йхо-аюмй"" (ннн), ц. лняйбю"""	"30101810000000000964"	
1═145	"044579118"	"опнлщйяхлаюмй"" гюн, ц. лняйбю"""	"30101810400000000118"	
1═146	"044583994"	"метръмни юкэъмя"" (нюн), ц. лняйбю"""	"30101810100000000994"	
1═147	"044579120"	"лхпйнлаюмй"", ц. лняйбю"""	"30101810100000000120"	
1═148	"044579196"	"аюмй йпелкебяйхи"" ннн, ц. лняйбю"""	"30101810600000000196"	
1═149	"044579124"	"хмйюпнаюмй"" (гюн), ц. лняйбю"""	"30101810300000000124"	
1═150	"044579125"	"тюплопнлахгмеяаюмй"", ц. лняйбю"""	"30101810600000000125"	
1═151	"044579127"	"сяа"" (ннн), ц. лняйбю"""	"30101810200000000127"	
1═152	"044579128"	"хяр апхдф аюмй"" (гюн), ц. лняйбю"""	"30101810500000000128"	
1═153	"044525116"	"гепаюмй (лняйбю)""(гюн), ц. лняйбю"""	"30101810700000000116"	
1═154	"044579131"	"юдлхпюкреияйхи"", ц. лняйбю"""	"30101810500000000131"	
1═155	"044579132"	"ебпнюгхюряйхи хмбеярхжхнммши аюмй"", ц. лняйбю"""	"30101810800000000132"	
1═156	"044585715"	"щкэахм"" б ц.лняйбю, ц. лняйбю"""	"30101810600000000715"	
1═157	"044579138"	"жемрспхнм"" (ннн), ц. лняйбю"""	"30101810600000000138"	
1═158	"044599386"	"хмбеярхжхнммши опнлщмепцнаюмй"" (ннн), ц. лняйбю"""	"30101810900000000386"	
1═159	"044579231"	"лефянжаюмй"", ц. лняйбю"""	"30101810400000000231"	
1═160	"044579146"	"йа яяяа (ннн), ц. лняйбю"	"30101810100000000146"	
1═161	"044552727"	"пемрю-аюмй"" нюн, ц. лняйбю"""	"30101810700000000727"	
1═162	"044583731"	"ялйа"" (ннн), ц. лняйбю"""	"30101810800000000731"	
1═163	"044579149"	"яелаюмй"", ц. лняйбю"""	"30101810000000000149"	
1═164	"044579505"	"ярпюрецхъ"" (нюн), ц. лняйбю"""	"30101810000000000505"	
1═165	"044579153"	"хуа"" нюн, ц. лняйбю"""	"30101810300000000153"	
1═166	"044579154"	"хмрпюяраюмй"" (нюн), ц. лняйбю"""	"30101810600000000154"	
1═167	"044583954"	"псяхв жемрп аюмй"", ц. лняйбю"""	"30101810700000000954"	
1═168	"044579157"	"мап"", ц. лняйбю"""	"30101810500000000157"	
1═169	"044579158"	"мя аюмй""(гюн), ц. лняйбю"""	"30101810800000000158"	
1═170	"044579160"	"щлюк"", ц. лняйбю"""	"30101810500000000160"	
1═171	"044579162"	"атц-йпедхр"" (ннн), ц. лняйбю"""	"30101810100000000162"	
1═172	"044579163"	"декнбюъ лняйбю"" (нюн), ц. лняйбю"""	"30101810400000000163"	
1═173	"044579194"	"ебпнлер"" (нюн), ц. лняйбю"""	"30101810000000000194"	
1═174	"044579365"	"нраюмй"", ц. лняйбю"""	"30101810800000000365"	
1═175	"044579167"	"хмаюмйопндсйр"" нюн, ц. лняйбю"""	"30101810600000000167"	
1═176	"044579168"	"гюн юйа ""тюаеп-аюмй"", ц. лняйбю"""	"30101810900000000168"	
1═177	"044583794"	"йая (гюн), ц. лняйбю"	"30101810300000000794"	
1═178	"044579171"	"юйа ""югхлср"", ц. лняйбю"""	"30101810900000000171"	
1═179	"044552504"	"наыхи"" (нюн), ц. лняйбю"""	"30101810800000000504"	
1═180	"044579174"	"псяэ-аюмй"", ц. лняйбю"""	"30101810800000000174"	
1═181	"044579935"	"рюрюцпнопнлаюмй"" б ц.лняйбю, ц. лняйбю"""	"30101810900000000935"	
1═182	"044579936"	"лняйнбяйхи гюкнцнбши аюмй"" (гюн), ц. лняйбю"""	"30101810200000000936"	
1═183	"044580002"	"ос аюмйю пняяхх йпюямнюплеияйне, ц. лняйбю"	""	
1═184	"044581002"	"ос аюмйю пняяхх опхцнпндмне, ц. лняйбю й 510"	""	
1═185	"044582002"	"ос аюмйю пняяхх гюоюдмне, ц. лняйбю"	""	
1═186	"044583001"	"нрдекемхе 1 лняйнбяйнцн црс аюмйю пняяхх, ц. лняйбю 705"	""	
1═187	"044552518"	"гюоюдмши"", ц. лняйбю"""	"30101810100000000518"	
1═188	"044525204"	"ебпнтхмюмя лнямюпаюмй"", ц. лняйбю"""	"30101810900000000204"	
1═189	"044583104"	"юй та хммнбюжхи х пюгбхрхъ (гюн), ц. лняйбю"	"30101810000000000104"	
1═190	"044579828"	"укеа пняяхх"", ц. лняйбю"""	"30101810800000000828"	
1═191	"044525213"	"аюмй йхрюъ (щкня)"", ц. лняйбю"""	"30101810700000000213"	
1═192	"044583337"	"псакебяйхи"" ннн, ц. лняйбю"""	"30101810000000000337"	
1═193	"044583118"	"п.х.ц."", ц. лняйбю"""	"30101810300000000118"	
1═194	"044583123"	"лащя"", ц. лняйбю,цяо-6"""	"30101810900000000123"	
1═195	"044583131"	"ремдеп-аюмй"" (гюн), ц. лняйбю"""	"30101810400000000131"	
1═196	"044583133"	"лняйкхпхмцжемрп"", ц. лняйбю"""	"30103810600000000133"	
1═197	"044525219"	"аюмй лняйбш"", ц. лняйбю"""	"30101810500000000219"	
1═198	"044552630"	"хмрепйюохрюк-аюмй"", ц. лняйбю"""	"30101810800000000630"	
1═199	"044552137"	"щйнмюжаюмй"", ц. лняйбю"""	"30101810400000000137"	
1═200	"044583139"	"юй опнлрнпцаюмй (гюн), ц. лняйбю"	"30101810800000000139"	
1═201	"044585166"	"рщлап-аюмй"", ц. лняйбю"""	"30101810000000000166"	
1═202	"044579852"	"мла"" ннн, ц. лняйбю"""	"30101810300000000852"	
1═203	"044583151"	"аюмй псяяйхи ярюмдюпр"", ц. лняйбю"""	"30101810600000000151"	
1═204	"044583153"	"йа ""цсрю-аюмй"" ""цсрю-лцря"", ц. лняйбю"""	"30101810200000000153"	
1═205	"044525218"	"дф.о. лнпцюм аюмй хмрепмеьмк"" (ннн), ц. лняйбю"""	"30101810200000000218"	
1═206	"044583162"	"мнбхйнлаюмй"", ц. лняйбю"""	"30101810000000000162"	
1═207	"044583164"	"спюкбмеьрнпцаюмй"", ц. лняйбю"""	"30101810600000000164"	
1═208	"044525209"	"лняярпнищйнмнлаюмй"" гюн, ц. лняйбю"""	"30101810400000000209"	
1═209	"044583167"	"фекднпаюмй"", ц. лняйбю"""	"30101810500000000167"	
1═210	"044599780"	"унбюмяйхи"", ц. осьйхмн"""	"30101810700000000780"	
1═211	"044583172"	"ояа"", ц. лняйбю"""	"30101810100000000172"	
1═212	"044579321"	"оерпнтт-аюмй"", ц. лняйбю"""	"30101810200000000321"	
1═213	"044583180"	"цпюмхр"", ц. лняйбю"""	"30101810600000000180"	
1═214	"044552679"	"яндпсфеярбн"", ц. лняйбю"""	"30101810900000000679"	
1═215	"046551963"	"яа""цсаепмяйхи"", ц. ейюрепхмаспц"""	"30101810800000000963"	
1═216	"044585413"	"мюжхмбеяропнлаюмй"" (гюн), ц. лняйбю"""	"30101810300000000413"	
1═217	"044583195"	"тда"", ц. лняйбю"""	"30101810200000000195"	
1═218	"044525226"	"янбтхмрпеид"",гюн, ц. лняйбю"""	"30101810700000000226"	
1═219	"044579660"	"еха"", ц. лняйбю"""	"30101810000000000660"	
1═220	"044552654"	"пндмхй"", ц. лняйбю"""	"30101810200000000654"	
1═221	"044583206"	"рпюяр-йпедхр"", ц. лняйбю"""	"30103810100000000206"	
1═222	"044525224"	"дхюкнц-норхл"" (ннн), ц. лняйбю"""	"30101810100000000224"	
1═223	"044583209"	"мнбши яхлбнк"", ц. лняйбю"""	"30101810400000000209"	
1═224	"044583211"	"пяйа"", ц. лняйбю"""	"30101810100000000211"	
1═225	"044583212"	"дпегдмеп аюмй гюн лняйнбяйхи тхкхюк, ц. лняйбю"	"30101810400000000212"	
1═226	"044583213"	"дейюаюмй"", ц. лняйбю"""	"30101810700000000213"	
1═227	"044579228"	"йа лйа (ннн), ц. лняйбю"	"30101810400000000228"	
1═228	"044599222"	"юклюггнкнрн аюмй"", ц. лняйбю"""	"30101810200000000222"	
1═229	"044583228"	"йсрсгнбяйхи"" ннн, ц. лняйбю"""	"30101810300000000228"	
1═230	"044579361"	"лтаюмй"" ннн, ц. лняйбю"""	"30101810600000000361"	
1═231	"044579928"	"кхня-аюмй"", ц. лняйбю"""	"30101810700000000928"	
1═232	"044583235"	"щйяонпраюмй"", ц. лняйбю"""	"30101810500000000235"	
1═233	"044579922"	"мйа"", ц. лняйбю"""	"30101810900000000922"	
1═234	"044525247"	"беярка бнярнй"" (гюн), ц. лняйбю"""	"30101810200000000247"	
1═235	"044525250"	"ярюик-аюмй"", ц. лняйбю"""	"30101810200000000250"	
1═236	"044583260"	"аюялюммши"", ц. лняйбю"""	"30101810300000000260"	
